sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,35,,良好,1.6,0.21,36.7,38.9,7,2,5.6,6.5,0.8,0.2,88,"2022/12/15 16:00:00",0.1,1,7,1,121.760056,25.129167,1
汐止,新北市,32,,良好,0.3,0.23,20,25.3,5,1,19.7,23.1,3.3,0.3,31,"2022/12/15 16:00:00",0.2,0,4,0,121.6423,25.067131,2
萬里,新北市,38,,良好,0.4,0.17,40.4,41.4,13,5,2.9,4,1,2.9,56,"2022/12/15 16:00:00",0.1,3,17,0,121.689881,25.179667,3
新店,新北市,25,,良好,0.6,0.28,25.1,23.2,1,0,15.5,18.3,2.8,1,69,"2022/12/15 16:00:00",0.3,1,3,0,121.537778,24.977222,4
土城,新北市,33,,良好,0.5,0.34,21.3,26.2,10,2,20.1,22.3,2.1,1.3,257,"2022/12/15 16:00:00",0.3,1,6,0,121.451861,24.982528,5
板橋,新北市,38,,良好,0.4,0.42,16.6,22.3,9,5,23.5,27.2,3.6,1.6,42,"2022/12/15 16:00:00",0.3,4,4,0,121.458667,25.012972,6
新莊,新北市,33,,良好,0.4,0.3,21.6,23.8,19,1,20.5,23.1,2.6,3.3,50,"2022/12/15 16:00:00",0.2,1,10,0,121.4325,25.037972,7
菜寮,新北市,27,,良好,0.7,0.3,25.4,26.9,7,4,16.9,17.7,0.7,3.3,88,"2022/12/15 16:00:00",0.3,3,3,0,121.481028,25.06895,8
林口,新北市,23,,良好,0.6,0.19,28.6,25.1,3,0,14,17.2,3.1,3.8,92,"2022/12/15 16:00:00",0.2,1,3,0,121.36548982,25.07798949,9
淡水,新北市,32,,良好,0.8,0.4,13.6,26.4,8,3,19.4,23.1,3.6,,,"2022/12/15 16:00:00",0.2,1,6,0,121.449239,25.1645,10
士林,臺北市,30,,良好,1.2,0.22,26.3,32.2,6,6,16.6,20.5,3.9,2.4,149,"2022/12/15 16:00:00",0.2,1,3,0,121.51666356,25.10334003,11
中山,臺北市,45,,良好,0.9,0.42,15.5,19.3,6,3,27.4,35.9,8.4,2.6,118,"2022/12/15 16:00:00",0.3,1,7,0,121.526528,25.062361,12
萬華,臺北市,47,,良好,0.1,0.37,14.1,19,5,6,28.8,34.8,5.9,2.1,98,"2022/12/15 16:00:00",0.3,4,5,0,121.507972,25.046503,13
古亭,臺北市,32,,良好,0.5,0.28,18.9,24.9,6,6,19.1,22.5,3.4,1.2,57,"2022/12/15 16:00:00",0.2,3,3,0,121.529556,25.020608,14
松山,臺北市,51,二氧化氮,普通,1.2,0.3,10.8,16.1,17,9,31.5,41.8,10.3,1.3,71,"2022/12/15 16:00:00",0.2,4,11,1,121.578611,25.05,15
大同,臺北市,54,二氧化氮,普通,0.6,0.66,8.1,8.9,22,14,35,65.9,30.9,-,-,"2022/12/15 16:00:00",0.8,9,20,0,121.51342074,25.06331455,16
桃園,桃園市,28,,良好,1.1,0.31,24.3,27.4,8,2,17.5,20.3,2.8,2.8,65,"2022/12/15 16:00:00",0.3,0,5,1,121.30500531,24.9947107,17
大園,桃園市,52,二氧化氮,普通,3.5,,13.5,20,,4,32,44.3,12.2,3.6,53,"2022/12/15 16:00:00",0.2,4,8,2,121.20251473,25.06100357,18
觀音,桃園市,31,,良好,4,0.15,34.2,33.9,14,2,8.1,9.1,0.9,4.4,65,"2022/12/15 16:00:00",0.1,4,14,3,121.08283092,25.03556747,19
平鎮,桃園市,30,,良好,1,0.32,25.2,28.2,4,4,18,22.2,4.2,2.5,48,"2022/12/15 16:00:00",0.3,5,3,0,121.203986,24.952786,20
龍潭,桃園市,27,,良好,1.4,0.26,22.8,27.4,5,0,16.9,19.4,2.5,3.5,58,"2022/12/15 16:00:00",0.2,0,1,0,121.21645772,24.86400048,21
湖口,新竹縣,27,,良好,1,0.24,26.9,29.9,9,1,12.8,14.8,2,4,66,"2022/12/15 16:00:00",0.2,3,8,1,121.03886894,24.90009696,22
竹東,新竹縣,20,,良好,,0.22,,,3,6,12.1,13.5,1.3,1.1,67,"2022/12/15 16:00:00",0.2,5,3,0,121.08895493,24.74091408,23
新竹,新竹市,35,,良好,2.3,0.32,13.2,24.6,7,6,21.2,24.8,3.5,1.7,44,"2022/12/15 16:00:00",0.2,4,6,1,120.97236752,24.8056356,24
頭份,苗栗縣,30,,良好,1.3,0.27,17.5,24.7,11,7,18.8,23.7,4.9,1.3,61,"2022/12/15 16:00:00",0.2,5,7,1,120.89869286,24.69690679,25
苗栗,苗栗縣,22,,良好,1.4,0.24,21.1,24.8,6,3,12.9,17.2,4.3,2.6,21,"2022/12/15 16:00:00",0.2,3,6,1,120.82011468,24.56499183,26
三義,苗栗縣,26,,良好,1.2,0.2,21.2,22.7,10,11,5.4,7,1.5,4.1,22,"2022/12/15 16:00:00",0.2,8,9,1,120.75956754,24.38248443,27
豐原,臺中市,27,,良好,1.5,0.26,13,17.2,14,8,14,19.8,5.8,2.2,328,"2022/12/15 16:00:00",0.2,8,15,0,120.74252414,24.25699731,28
沙鹿,臺中市,26,,良好,1.1,0.22,25.3,28.6,17,6,13.1,16.6,3.4,3.9,3,"2022/12/15 16:00:00",0.2,5,15,1,120.568794,24.225628,29
大里,臺中市,38,,良好,1.5,0.34,24.1,28.6,27,14,17.7,21.8,4,1.2,331,"2022/12/15 16:00:00",0.3,11,25,1,120.67844444,24.09961111,30
忠明,臺中市,32,,良好,1.2,0.28,22.4,25.3,22,14,16.3,22.5,6.1,1.4,13,"2022/12/15 16:00:00",0.3,9,17,1,120.641092,24.151958,31
西屯,臺中市,28,,良好,0.8,0.23,23.9,27.4,22,6,17.6,23.4,5.7,3.5,19,"2022/12/15 16:00:00",0.2,7,19,0,120.616917,24.162197,32
彰化,彰化縣,30,,良好,0.9,0.27,27.1,27,22,8,14.2,18.9,4.7,2.2,0,"2022/12/15 16:00:00",0.2,9,21,0,120.541519,24.066,33
線西,彰化縣,33,,良好,5.3,0.52,21.3,26.8,30,11,20.8,28.3,7.4,5,19,"2022/12/15 16:00:00",0.3,8,23,2,120.469061,24.131672,34
二林,彰化縣,30,,良好,1.7,0.21,34.3,32.5,25,6,10.8,12.9,2.1,3.9,11,"2022/12/15 16:00:00",0.2,8,28,1,120.409653,23.925175,35
南投,南投縣,36,,良好,1,0.35,29.7,31.9,36,16,21.7,25.8,4,2,350,"2022/12/15 16:00:00",0.3,11,24,1,120.685306,23.913,36
斗六,雲林縣,62,細懸浮微粒,普通,4.9,0.45,32.4,35,52,17,19.8,24.2,4.4,2.3,338,"2022/12/15 16:00:00",0.3,19,39,,120.544994,23.711853,37
崙背,雲林縣,38,,良好,1.1,0.2,37.9,33.2,28,11,8.2,9.8,1.5,2.2,328,"2022/12/15 16:00:00",0.2,11,28,1,120.348742,23.757547,38
新港,嘉義縣,47,,良好,0.9,0.2,45.6,37.3,43,8,5.9,8,2,2.9,309,"2022/12/15 16:00:00",0.2,14,34,1,120.345531,23.554839,39
朴子,嘉義縣,44,,良好,1.6,0.2,45.6,38,48,11,6.7,8.2,1.5,2.5,343,"2022/12/15 16:00:00",0.2,13,36,1,120.24781111,23.46712222,40
臺西,雲林縣,33,,良好,,0.19,,36.6,18,,,,,7,23,"2022/12/15 16:00:00",0.1,8,17,1,120.19933333,23.702175,41
嘉義,嘉義市,54,細懸浮微粒,普通,1.3,0.28,,31.6,41,21,11.9,13.7,1.7,2.6,359,"2022/12/15 16:00:00",0.3,16,33,2,120.44125148,23.46477865,42
