股票代號,股票名稱,收盤價,月平均價
"0050","元大台灣50","114.90","115.30"
"0051","元大中型100","52.95","52.87"
"0052","富邦科技","98.15","98.41"
"0053","元大電子","54.95","55.19"
"0055","元大MSCI金融","21.86","21.90"
"0056","元大高股息","25.70","25.61"
"0057","富邦摩台","82.05","82.18"
"0061","元大寶滬深","18.67","18.59"
"006203","元大MSCI台灣","55.90","55.89"
"006204","永豐臺灣加權","73.75","73.85"
"006205","富邦上証","31.45","31.42"
"006206","元大上證50","30.16","30.03"
"006207","FH滬深","24.61","24.56"
"006208","富邦台50","65.05","65.17"
"00631L","元大台灣50正2","100.40","100.40"
"00632R","元大台灣50反1","5.72","5.72"
"00633L","富邦上証正2","39.96","39.34"
"00634R","富邦上証反1","4.46","4.50"
"00635U","期元大S&P黃金","23.17","23.16"
"00636","國泰中國A50","21.36","21.18"
"00636K","國泰中國A50+U","6.98","6.91"
"00637L","元大滬深300正2","15.72","15.48"
"00638R","元大滬深300反1","9.40","9.50"
"00639","富邦深100","12.68","12.61"
"00640L","富邦日本正2","29.13","28.80"
"00641R","富邦日本反1","9.54","9.60"
"00642U","期元大S&P石油","16.36","16.30"
"00643","群益深証中小","14.93","14.97"
"00645","富邦日本","26.32","26.16"
"00646","元大S&P500","37.93","37.93"
"00647L","元大S&P500正2","54.10","54.29"
"00648R","元大S&P500反1","7.29","7.29"
"00650L","FH香港正2","13.32","13.31"
"00651R","FH香港反1","8.64","8.70"
"00652","富邦印度","30.63","31.07"
"00653L","富邦印度正2","48.23","48.63"
"00654R","富邦印度反1","7.68","7.63"
"00655L","國泰中國A50正2","28.41","27.97"
"00656R","國泰中國A50反1","8.39","8.47"
"00657","國泰日經225","33.13","32.85"
"00657K","國泰日經225+U","10.82","10.72"
"00660","元大歐洲50","29.01","28.92"
"00661","元大日經225","","35.44"
"00662","富邦NASDAQ","46.29","46.42"
"00663L","國泰臺灣加權正2","92.15","92.28"
"00664R","國泰臺灣加權反1","6.47","6.47"
"00665L","富邦恒生國企正2","8.42","8.50"
"00666R","富邦恒生國企反1","15.03","15.07"
"00668","國泰美國道瓊","37.83","37.85"
"00668K","國泰美國道瓊+U","12.35","12.35"
"00669R","國泰美國道瓊反1","7.84","7.84"
"00670L","富邦NASDAQ正2","56.45","56.80"
"00671R","富邦NASDAQ反1","6.22","6.20"
"00673R","期元大S&P原油反1","9.03","9.11"
"00674R","期元大S&P黃金反1","13.14","13.14"
"00675L","富邦臺灣加權正2","40.34","40.26"
"00676R","富邦臺灣加權反1","3.56","3.56"
"00678","群益NBI生技","27.00","26.79"
"00680L","元大美債20正2","12.79","12.60"
"00681R","元大美債20反1","17.58","17.76"
"00682U","期元大美元指數","20.66","20.86"
"00683L","期元大美元指正2","21.76","22.15"
"00684R","期元大美元指反1","16.03","15.91"
"00685L","群益臺灣加權正2","35.69","35.75"
"00686R","群益臺灣加權反1","3.85","3.86"
"00688L","國泰20年美債正2","12.65","12.47"
"00689R","國泰20年美債反1","18.28","18.45"
"00690","兆豐藍籌30","25.77","26.03"
"00692","富邦公司治理","27.92","27.97"
"00693U","期街口S&P黃豆","26.39","26.15"
"00700","富邦恒生國企","12.87","12.89"
"00701","國泰股利精選30","22.43","22.40"
"00702","國泰標普低波高息","22.04","22.06"
"00703","台新MSCI中國","15.62","15.76"
"00706L","期元大S&P日圓正2","9.84","9.79"
"00707R","期元大S&P日圓反1","24.24","24.30"
"00708L","期元大S&P黃金正2","24.09","24.12"
"00709","富邦歐洲","23.11","22.88"
"00710B","FH彭博非投等債","18.12","18.12"
"00711B","FH彭博新興債","16.65","16.47"
"00712","FH富時不動產","10.55","10.55"
"00713","元大台灣高息低波","39.04","39.02"
"00714","群益道瓊美國地產","19.28","19.13"
"00715L","期街口布蘭特正2","14.47","14.48"
"00717","富邦美國特別股","14.73","14.79"
"00728","第一金工業30","22.86","23.03"
"00730","富邦臺灣優質高息","16.78","16.72"
"00731","FH富時高息低波","54.00","53.93"
"00732","國泰RMB短期報酬","40.40","40.34"
"00733","富邦臺灣中小","36.70","36.13"
"00735","國泰臺韓科技","25.07","25.24"
"00736","國泰新興市場","19.47","19.62"
"00737","國泰AI+Robo","25.67","25.41"
"00738U","期元大道瓊白銀","23.33","23.05"
"00739","元大MSCI A股","23.04","23.08"
"00752","中信中國50","18.03","18.00"
"00753L","中信中國50正2","11.04","11.13"
"00757","統一FANG+","36.15","36.14"
"00762","元大全球AI","31.89","31.45"
"00763U","期街口道瓊銅","24.37","24.55"
"00770","國泰北美科技","28.73","28.69"
"00771","元大US高息特別股","16.50","16.55"
"00774B","新光中國政金綠債","40.45","40.30"
"00775B","新光投等債15+","34.85","34.62"
"00783","富邦中証500","20.61","20.82"
"00830","國泰費城半導體","24.78","24.62"
"00850","元大臺灣ESG永續","29.22","29.26"
"00851","台新全球AI","23.47","23.44"
"00852L","國泰美國道瓊正2","20.24","20.29"
"00861","元大全球未來通訊","27.11","27.05"
"00865B","國泰US短期公債","40.07","40.00"
"00875","國泰網路資安","25.60","25.63"
"00876","元大全球5G","25.87","25.78"
"00878","國泰永續高股息","16.44","16.47"
"00881","國泰台灣5G+","14.26","14.37"
"00882","中信中國高股息","11.86","11.81"
"00885","富邦越南","11.75","11.78"
"00891","中信關鍵半導體","11.69","11.78"
"00892","富邦台灣半導體","10.53","10.55"
"00893","國泰智能電動車","11.92","12.11"
"00894","中信小資高價30","12.14","12.16"
"00895","富邦未來車","12.84","13.12"
"00896","中信綠能及電動車","13.47","13.41"
"00897","富邦基因免疫生技","8.97","8.95"
"00898","國泰基因免疫革命","7.68","7.67"
"00899","FT潔淨能源","23.93","23.38"
"00900","富邦特選高股息30","10.81","10.79"
"00901","永豐智能車供應鏈","12.06","12.12"
"00902","中信電池及儲能","13.07","13.30"
"00903","富邦元宇宙","8.59","8.62"
"00904","新光臺灣半導體30","11.05","11.14"
"00905","FT臺灣Smart","8.66","8.71"
"00906","大華元宇宙科技50","8.99","9.03"
"00907","永豐優息存股","14.60","14.57"
"00908","富邦入息REITs+","13.70","13.54"
"00909","國泰數位支付服務","15.17","15.31"
"00910","第一金太空衛星","14.88","14.94"
"00911","兆豐洲際半導體","15.60","15.57"
"00912","中信臺灣智慧50","14.06","14.06"
"00913","兆豐台灣晶圓製造","14.95","15.09"
"00915","凱基優選高股息30","15.25","15.30"
"00916","國泰全球品牌50","14.77","14.79"
"00917","中信特選金融","15.02","15.15"
"00918","大華優利高填息30","15.20","15.17"
"00919","群益台灣精選高息","16.60","16.67"
"00920","富邦ESG綠色電力","17.54","17.21"
"01001T","土銀富邦R1","16.41","16.71"
"01002T","土銀國泰R1","17.98","17.99"
"01003T","兆豐新光R1","20.60","20.60"
"01004T","土銀富邦R2","15.70","15.63"
"01007T","兆豐國泰R2","17.90","18.02"
"01009T","王道圓滿R1","8.43","8.45"
