序號,類別,題目,選項A,選項B,選項C,選項D,答案
1,遠離網路沉迷,以下何種方式「無法」避免家中孩童沉迷於網路？,跟小孩約定每天可上網的時間,瞭解小孩零用錢花費的用途,幫小孩申請「吃到飽」的上網方案,增加親子互動的時間,C
2,遠離網路沉迷,網路沉迷除了可能傷害視力以外，還會造成以下何種影響身體健康的風險？,癌症,地中海型貧血,色盲,肌腱關節與神經的傷害,D
3,遠離網路沉迷,請問，當你出現以下哪些徵狀時，表示已有網路沉迷的風險？,沒有社群網站帳號,自我控制使用社群網站的時間，不耽誤學習、休閒或睡眠,隨時隨地都想上網查看社群網站狀態,偶爾會玩社群網站的小遊戲,C
4,遠離網路沉迷,心理學家指出，平均每週上網超過40小時者，就有較高網路沉迷的風險。為了防止網路沉迷，平時應該如何處理較為適當？,打發時間、心情好或不好時都上網,電腦一整天不關機,避免將網路當成生活唯一的重心,儘量享受網路活動的聲光色效果,C
5,遠離網路沉迷,網路沉迷或成癮的高危險群，除會有肩頸疲勞等生理問題外，還可能帶來哪些負向的心理反應？,疑心、與憂鬱或焦慮,自信心,好的人際關係,積極正向的態度,A
6,遠離網路沉迷,請問以下何者「不是」網路沉迷的可能成因？,無聊,現實世界中沒有成就感,查詢老師規定的回家作業,情緒低落上網尋求網友的慰藉,C
7,遵守網路禮儀,小傑在部落格向大家推薦一本好書，卻有網友留言提出完全相反的意見，這時小傑應該怎麼做才是正確的？,留言攻擊該名網友,與該名網友爭辯到底，直到對方認同自己的意見,請網友投票表決，看誰的意見獲得較多網友支持,尊重該名網友不同的見解,D
8,遵守網路禮儀,個人在現實生活的言談和網路上的發言都受到「言論自由」的保護，然而言論自由是建立在「言論責任」上。請問，以下敘述何者與「言論責任」的精神相符合？,不管事實與否，只要涉及公共利益就應該要說出來,就算會侵犯到他人隱私，也要表達自己主觀的想法,在不傷害他人的原則上，表達自己的想法,只要沒有出於惡意，就可以恣意表達自己的想法,C
9,遵守網路禮儀,以電子郵件與他人進行意見往返，必須遵守網路禮儀，以下哪一種行為比較合乎網路禮儀精神之「簡潔」與「清楚」的原則？,在電子郵件中不洩漏個人隱密之事,在電子郵件中說明此封信件的主題，並盡量減少對方可能看不懂的文字，例如注音文或網路流行語。,不回覆來路不明的電子郵件,不轉寄可能是謠言的電子郵件,B
10,遵守網路禮儀,網路上的人際互動與現實生活一樣，都必須留意互動時的禮貌，以下何者「不是」網路禮儀的基本原則？,保持友善的態度,發言盡量聳動,尊重他人隱私,簡潔清楚的表達,B
11,遵守網路禮儀,許多網友會在網路上爆料黑心或不肖店家，張貼這類發言時，需要注意哪些事項？,用字遣詞必須適當，否則可能觸犯誹謗罪,爆料內容最好附上圖片，這樣就不會被告了,網路是匿名的，即使有謾罵言論也不會被抓到,誹謗罪只會罰錢，可以放心在網路上言所欲言,A
12,遵守網路禮儀,有人在網路討論區公開叫囂對罵，我們應該要採取何種行為較為適當？,瞭解事情始末，並指責理虧的一方,不跟著謾罵，回報討論區管理員處理,張貼裸露性感的美女圖片，降低網友火氣,透過人肉搜索，公開叫囂者的個人基本資料,B
13,慎用網路社群,社群網站能讓我們結交更多的朋友，要怎麼做才能避免網路詐騙？,網友提出的要求通通答應,網友就是朋友，朋友有困難當然要幫忙啦,發現網友提出的與金錢相關或借錢投資等不合理要求時，要提高警覺,只要與網友沒有金錢上的往來，就不會被詐騙,C
14,慎用網路社群,使用社群服務時，下列何者「無法」強化您的帳號及密碼的安全？,定期確認帳號隱私權設定方式,定期變更密碼,定期發布最新消息,逐一確認交友邀請，避免加入不認識的朋友,C
15,慎用網路社群,下列哪一種資訊透過通訊軟體傳遞比較適宜？,信用卡號,公司機密資料,身分證字號,新聞網址,D
16,慎用網路社群,阿泰和阿傑是好朋友，他們經常一起上線玩遊戲，同時又透過遊戲提供的平臺來聊天。請問下列何者「不是」他們在遊戲平臺聊天時應該討論的內容？,遊戲過關的方式,登入遊戲的帳號及密碼,分享如何得到戰利品的方法,討論各種角色的特性,B
17,慎用網路社群,大仁將大學同學會的影片上傳到社群網站分享，請問下列敘述何者「不正確」？,大仁應成立社團，並僅限大學同學加入及觀賞影片,大仁上傳的影像，必須遵守該網站的使用規範與隱私權聲明,大仁應該不設定權限，讓所有有興趣的人皆可觀賞,大仁應徵詢當事人同意再上傳,C
18,慎用網路社群,小芬為網路團購活動的發起人，以下敘述，何者可能造成網購風險？,若要刷卡付費，一定要確認購物網站設有加密保護措施,選擇具正面評價的團購網站,提醒網友不要相信轉帳錯誤並要求至ATM操作的來電通知,以提供最低售價的網站為第一優先,D
19,保護個人資料,小紅最近登入社群網站時，網頁側邊總是顯示北海道旅遊的相關廣告，關於此情形，以下敘述何者「不正確」？,小紅最近可能在社群網站發布了有關北海道旅遊的文章,小紅最近可能經常上網搜尋北海道旅遊的資訊,小紅最近可能在社群網站上某個「北海道旅遊」的社團按過讚,應該只是巧合而已，沒什麼好大驚小怪的,D
20,保護個人資料,收到不知名的網站主動寄發的電子郵件，內容為點選連結加入會員就送贈品，請問，適當的處理方式為何？,立刻依照要求填寫個人資料,不應理會，將信件刪除,回信詢問對方詳細情況,收到禮物後馬上把會員資料改成假的,B
