SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId,ImportDate
基隆,基隆市,37,,良好,0.9,0.22,0.2,42.3,30,32,13,5.2,6.1,0.9,1.3,105,2021/12/02 14:00:00,11,28,0,121.760056,25.129167,1,2021-12-02 14:20:01.343000
汐止,新北市,34,,良好,1.2,0.15,0.2,41.5,17,32,9,6.3,8.4,2,2.6,20,2021/12/02 14:00:00,10,27,1,121.6423,25.067131,2,2021-12-02 14:20:01.343000
萬里,新北市,65,懸浮微粒,普通,0.2,0.2,0.1,48.2,40,70,15,3.2,4.1,0.8,7.1,26,2021/12/02 14:00:00,13,65,0,121.689881,25.179667,3,2021-12-02 14:20:01.343000
新店,新北市,33,,良好,1.1,0.26,0.3,38.1,24,31,10,9.7,12.4,2.7,1.9,30,2021/12/02 14:00:00,10,27,1,121.537778,24.977222,4,2021-12-02 14:20:01.343000
土城,新北市,28,,良好,1.2,0.26,0.3,39.6,28,32,8,8.7,10.1,1.4,1.9,6,2021/12/02 14:00:00,8,28,0,121.451861,24.982528,5,2021-12-02 14:20:01.343000
板橋,新北市,36,,良好,1.6,0.35,0.4,33.4,21,33,12,14.1,17.3,3.1,2.5,26,2021/12/02 14:00:00,11,29,0,121.458667,25.012972,6,2021-12-02 14:20:01.343000
新莊,新北市,38,,良好,0.8,0.2,0.3,39.7,24,34,14,7.9,9.6,1.7,5.3,14,2021/12/02 14:00:00,11,31,0,121.4325,25.037972,7,2021-12-02 14:20:01.343000
菜寮,新北市,34,,良好,1.3,0.3,0.4,35.7,24,29,12,11.5,14.1,2.5,1.7,347,2021/12/02 14:00:00,10,26,1,121.481028,25.06895,8,2021-12-02 14:20:01.343000
林口,新北市,36,,良好,1.1,0.21,0.2,38.6,25,36,11,8.2,10.7,2.5,4.5,34,2021/12/02 14:00:00,11,30,0,121.376869,25.077197,9,2021-12-02 14:20:01.343000
淡水,新北市,34,,良好,0.8,0.22,0.2,41.3,32,25,15,3.6,4.7,1,,,2021/12/02 14:00:00,10,26,0,121.449239,25.1645,10,2021-12-02 14:20:01.343000
士林,臺北市,27,,良好,0.9,0.2,0.2,37.2,25,26,7,6.7,8.8,2.1,4.1,31,2021/12/02 14:00:00,8,27,1,121.515389,25.105417,11,2021-12-02 14:20:01.343000
中山,臺北市,33,,良好,1.1,0.33,0.4,31.9,21,35,12,13.6,18.4,4.7,1.6,329,2021/12/02 14:00:00,10,27,0,121.526528,25.062361,12,2021-12-02 14:20:01.343000
萬華,臺北市,32,,良好,1.2,0.32,0.3,31.6,21,27,13,16.4,20.4,4,1.6,86,2021/12/02 14:00:00,9,26,0,121.507972,25.046503,13,2021-12-02 14:20:01.343000
古亭,臺北市,31,,良好,0.8,0.23,0.3,40,24,31,7,9.3,11.6,2.3,1.8,57,2021/12/02 14:00:00,9,28,1,121.529556,25.020608,14,2021-12-02 14:20:01.343000
松山,臺北市,38,,良好,1.5,0.2,0.3,40.2,22,30,10,7.8,10,2.2,3.3,49,2021/12/02 14:00:00,11,32,1,121.578611,25.05,15,2021-12-02 14:20:01.343000
大同,臺北市,47,,良好,1.7,0.65,1,,12,,16,21.2,37.8,16.5,-,-,2021/12/02 14:00:00,14,46,1,121.513311,25.0632,16,2021-12-02 14:20:01.343000
桃園,桃園市,42,,良好,1.3,0.27,0.4,38.5,25,36,15,9.8,11.4,1.6,3.7,27,2021/12/02 14:00:00,12,30,2,121.30872222,24.98677778,17,2021-12-02 14:20:01.343000
大園,桃園市,41,,良好,2.7,0.23,0.2,38.9,29,32,12,8,10.7,2.7,6.7,66,2021/12/02 14:00:00,12,30,1,121.201811,25.060344,18,2021-12-02 14:20:01.343000
觀音,桃園市,47,,良好,0.4,0.2,0.1,41.4,32,38,18,4.9,5.9,1,4.9,39,2021/12/02 14:00:00,14,38,2,121.082761,25.035503,19,2021-12-02 14:20:01.343000
平鎮,桃園市,41,,良好,2.3,0.27,0.3,34.2,26,41,12,11.1,14.2,3,2.9,22,2021/12/02 14:00:00,12,31,2,121.203986,24.952786,20,2021-12-02 14:20:01.343000
龍潭,桃園市,33,,良好,2,0.28,0.2,38.3,31,34,12,9.9,12.7,2.8,4.2,6,2021/12/02 14:00:00,10,28,1,121.21635,24.863869,21,2021-12-02 14:20:01.343000
湖口,新竹縣,47,,良好,0.9,0.21,0.2,40.8,31,33,17,4.9,6,1.1,3.9,38,2021/12/02 14:00:00,14,30,0,121.038653,24.900142,22,2021-12-02 14:20:01.343000
竹東,新竹縣,38,,良好,1.1,0.22,0.2,37.2,32,37,15,9.1,10.9,1.7,4.3,349,2021/12/02 14:00:00,11,25,0,121.088903,24.740644,23,2021-12-02 14:20:01.343000
新竹,新竹市,41,,良好,0.6,0.26,0.2,36.3,28,34,12,8.2,10,1.7,3,47,2021/12/02 14:00:00,12,30,1,120.972075,24.805619,24,2021-12-02 14:20:01.343000
頭份,苗栗縣,37,,良好,2.6,0.26,0.2,43.4,33,34,15,8.2,10.3,2.1,3.6,24,2021/12/02 14:00:00,11,31,2,120.898572,24.696969,25,2021-12-02 14:20:01.343000
苗栗,苗栗縣,30,,良好,2.1,0.24,0.2,42.6,31,44,12,7.9,9.9,2,4,39,2021/12/02 14:00:00,8,30,2,120.8202,24.565269,26,2021-12-02 14:20:01.343000
三義,苗栗縣,31,,良好,2.1,0.24,0.1,42.7,34,43,11,,,,7.2,12,2021/12/02 14:00:00,9,25,1,120.758833,24.382942,27,2021-12-02 14:20:01.343000
豐原,臺中市,29,,良好,1.6,0.23,0.2,43.8,31,33,10,5.1,6.9,1.8,2.6,14,2021/12/02 14:00:00,8,23,1,120.741711,24.256586,28,2021-12-02 14:20:01.343000
沙鹿,臺中市,37,,良好,2.6,0.22,0.2,45.7,34,47,12,7.3,9.6,2.2,7.8,3,2021/12/02 14:00:00,10,37,1,120.568794,24.225628,29,2021-12-02 14:20:01.343000
大里,臺中市,36,,良好,2.2,0.25,0.3,46.2,28,38,12,9.4,11.6,2.2,3.6,332,2021/12/02 14:00:00,11,30,1,120.67844444,24.09961111,30,2021-12-02 14:20:01.343000
忠明,臺中市,39,,良好,2.2,0.28,0.2,43.8,30,33,13,11.9,14,2,3.1,345,2021/12/02 14:00:00,11,29,1,120.641092,24.151958,31,2021-12-02 14:20:01.343000
西屯,臺中市,34,,良好,1.7,0.22,0.2,44.2,32,44,14,8.8,11.3,2.4,5.4,15,2021/12/02 14:00:00,9,34,1,120.616917,24.162197,32,2021-12-02 14:20:01.343000
彰化,彰化縣,44,,良好,1.8,0.24,0.2,44.1,29,65,12,10.5,13.2,2.7,4.9,1,2021/12/02 14:00:00,10,44,1,120.541519,24.066,33,2021-12-02 14:20:01.343000
線西,彰化縣,43,,良好,4.6,0.33,0.2,43.3,33,56,19,8.8,11.7,2.8,8,32,2021/12/02 14:00:00,12,43,2,120.469061,24.131672,34,2021-12-02 14:20:01.343000
二林,彰化縣,50,,良好,2.2,0.3,0.2,,29,75,15,10.6,12,1.4,7.3,26,2021/12/02 14:00:00,10,50,1,120.409653,23.925175,35,2021-12-02 14:20:01.343000
南投,南投縣,51,細懸浮微粒,普通,2.1,0.26,0.3,49,25,38,20,11.7,14.6,2.9,2.4,343,2021/12/02 14:00:00,15,34,2,120.685306,23.913,36,2021-12-02 14:20:01.343000
斗六,雲林縣,55,細懸浮微粒,普通,2,0.27,0.2,55.6,32,50,21,9.2,11.9,2.6,2.6,341,2021/12/02 14:00:00,17,40,2,120.544994,23.711853,37,2021-12-02 14:20:01.343000
崙背,雲林縣,57,細懸浮微粒,普通,4,0.28,0.2,44.7,32,75,22,8.9,11.5,2.5,2.9,353,2021/12/02 14:00:00,17,57,2,120.348742,23.757547,38,2021-12-02 14:20:01.343000
新港,嘉義縣,50,,良好,1.6,0.28,0.2,50.8,31,48,18,6.6,8.2,1.5,3.9,342,2021/12/02 14:00:00,15,47,1,120.345531,23.554839,39,2021-12-02 14:20:01.343000
朴子,嘉義縣,53,懸浮微粒,普通,2.5,0.26,0.2,48.8,33,74,21,8.4,10,1.6,2.5,352,2021/12/02 14:00:00,14,53,1,120.24781111,23.46712222,40,2021-12-02 14:20:01.343000
臺西,雲林縣,40,,良好,1.9,0.21,0.2,51,34,41,13,3.5,5.4,1.9,8.8,27,2021/12/02 14:00:00,12,40,2,120.19933333,23.702175,41,2021-12-02 14:20:01.343000
嘉義,嘉義市,60,細懸浮微粒,普通,3,0.26,0.3,57,29,44,20,8.8,10.9,2,2.7,350,2021/12/02 14:00:00,19,44,2,120.44083333,23.462778,42,2021-12-02 14:20:01.343000
新營,臺南市,58,細懸浮微粒,普通,2.4,0.27,0.2,54.3,31,62,20,9.3,10.9,1.5,3.1,348,2021/12/02 14:00:00,18,48,1,120.31725,23.305633,43,2021-12-02 14:20:01.343000
善化,臺南市,63,細懸浮微粒,普通,2,0.19,0.2,59.5,29,41,18,5.9,7.2,1.3,2.5,359,2021/12/02 14:00:00,20,40,2,120.297142,23.115097,44,2021-12-02 14:20:01.343000
安南,臺南市,60,細懸浮微粒,普通,2.1,0.26,0.3,58.3,29,48,19,10.1,11.5,1.3,2.6,356,2021/12/02 14:00:00,19,52,1,120.2175,23.048197,45,2021-12-02 14:20:01.343000
