"title","link","description","pub_date"
"Tesla Cuts Model Y Output in China – Economic Slowdown and Anticipated Project Juniper Launch - Not a Tesla App","https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5ub3RhdGVzbGFhcHAuY29tL25ld3MvMjA0NC90ZXNsYS1jdXRzLW1vZGVsLXktb3V0cHV0LWluLWNoaW5hLWVjb25vbWljLXNsb3dkb3duLWFuZC1hbnRpY2lwYXRlZC1wcm9qZWN0LWp1bmlwZXItbGF1bmNo0gEA?oc=5","Tesla Cuts Model Y Output in China – Economic Slowdown and Anticipated Project Juniper Launch  Not a Tesla App","Wed, 29 May 2024 15:08:00 GMT"
"I just drove 100 miles in the Ford Mach-E GT — Tesla Model Y has some serious competition - Tom's Guide","https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy50b21zZ3VpZGUuY29tL3ZlaGljbGUtdGVjaC9ldnMvaS1qdXN0LWRyb3ZlLTEwMC1taWxlcy1pbi10aGUtZm9yZC1tYWNoLWUtZ3QtdGVzbGEtbW9kZWwteS1oYXMtc29tZS1zZXJpb3VzLWNvbXBldGl0aW9u0gEA?oc=5","I just drove 100 miles in the Ford Mach-E GT — Tesla Model Y has some serious competition  Tom's Guide","Wed, 29 May 2024 08:30:57 GMT"
"I just swapped a Tesla Model 3 for a Model Y and Elon Musk's brutal layoffs ruined the experience - Electrek","https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZWxlY3RyZWsuY28vMjAyNC8wNS8yNy90ZXNsYS1tb2RlbC0zLW1vZGVsLXktZWxvbi1tdXNrLWxheW9mZnMv0gEA?oc=5","I just swapped a Tesla Model 3 for a Model Y and Elon Musk's brutal layoffs ruined the experience  Electrek","Mon, 27 May 2024 23:18:00 GMT"
"Rendering: All-New 2025 Tesla Model Y Comes Whacky With Curious DNA, Albeit Only in CGI - autoevolution","https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5hdXRvZXZvbHV0aW9uLmNvbS9uZXdzL3JlbmRlcmluZy1hbGwtbmV3LTIwMjUtdGVzbGEtbW9kZWwteS1jb21lcy13aGFja3ktd2l0aC1jdXJpb3VzLWRuYS1hbGJlaXQtb25seS1pbi1jZ2ktMjM0NDc1Lmh0bWzSAQA?oc=5","Rendering: All-New 2025 Tesla Model Y Comes Whacky With Curious DNA, Albeit Only in CGI  autoevolution","Mon, 27 May 2024 07:51:26 GMT"
"Tesla cuts Model Y output in China - electrive.com - www.electrive.com","https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LmVsZWN0cml2ZS5jb20vMjAyNC8wNS8yNy90ZXNsYS1jdXRzLW1vZGVsLXktb3V0cHV0LWNoaW5hL9IBAA?oc=5","Tesla cuts Model Y output in China - electrive.com  www.electrive.com","Mon, 27 May 2024 07:31:27 GMT"
"New Cadillac Optiq Costs More Than Tesla Model Y Performance, Might Be DOA-IQ - CarScoops","https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmNhcnNjb29wcy5jb20vMjAyNC8wNS9jYWRpbGxhYy1vcHRpcS1jb3N0cy1tb3JlLXRoYW4tdGVzbGEtbW9kZWwteS1wZXJmb3JtYW5jZS1taWdodC1iZS1kb2EtaXEv0gEA?oc=5","New Cadillac Optiq Costs More Than Tesla Model Y Performance, Might Be DOA-IQ  CarScoops","Wed, 29 May 2024 18:05:23 GMT"
"Kia EV3 vs Tesla Model Y: Can Kia’s new entry-level car take on Tesla? - Digital Trends","https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmRpZ2l0YWx0cmVuZHMuY29tL2NhcnMva2lhLWV2My12cy10ZXNsYS1tb2RlbC15LWNhbi1raWFzLW5ldy1lbnRyeS1sZXZlbC1jYXItdGFrZS1vbi10ZXNsYS_SAWtodHRwczovL3d3dy5kaWdpdGFsdHJlbmRzLmNvbS9jYXJzL2tpYS1ldjMtdnMtdGVzbGEtbW9kZWwteS1jYW4ta2lhcy1uZXctZW50cnktbGV2ZWwtY2FyLXRha2Utb24tdGVzbGEvP2FtcA?oc=5","Kia EV3 vs Tesla Model Y: Can Kia’s new entry-level car take on Tesla?  Digital Trends","Tue, 28 May 2024 18:00:14 GMT"
"Tesla software limits Model 3 and Model Y power and acceleration to price them cheaper - Notebookcheck.net","https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5ub3RlYm9va2NoZWNrLm5ldC9UZXNsYS1zb2Z0d2FyZS1saW1pdHMtTW9kZWwtMy1hbmQtTW9kZWwtWS1wb3dlci1hbmQtYWNjZWxlcmF0aW9uLXRvLXByaWNlLXRoZW0tY2hlYXBlci44NDE3ODguMC5odG1s0gEA?oc=5","Tesla software limits Model 3 and Model Y power and acceleration to price them cheaper  Notebookcheck.net","Tue, 28 May 2024 10:39:33 GMT"
"5 Million US Solar Installations, Low Tesla Model Y Interest Rates, New Electric Cars — Top Cleantech News - CleanTechnica","https://news.google.com/rss/articles/CBMijAFodHRwczovL2NsZWFudGVjaG5pY2EuY29tLzIwMjQvMDUvMjgvNS1taWxsaW9uLXVzLXNvbGFyLWluc3RhbGxhdGlvbnMtbG93LXRlc2xhLW1vZGVsLXktaW50ZXJlc3QtcmF0ZXMtbmV3LWVsZWN0cmljLWNhcnMtdG9wLWNsZWFudGVjaC1uZXdzL9IBkAFodHRwczovL2NsZWFudGVjaG5pY2EuY29tLzIwMjQvMDUvMjgvNS1taWxsaW9uLXVzLXNvbGFyLWluc3RhbGxhdGlvbnMtbG93LXRlc2xhLW1vZGVsLXktaW50ZXJlc3QtcmF0ZXMtbmV3LWVsZWN0cmljLWNhcnMtdG9wLWNsZWFudGVjaC1uZXdzL2FtcC8?oc=5","5 Million US Solar Installations, Low Tesla Model Y Interest Rates, New Electric Cars — Top Cleantech News  CleanTechnica","Wed, 29 May 2024 04:07:24 GMT"
"Tesla to launch new Performance mode for Model 3 and Y - TESLARATI","https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtcGVyZm9ybWFuY2UtbW9kZS1tb2RlbC0zLXkv0gE_aHR0cHM6Ly93d3cudGVzbGFyYXRpLmNvbS90ZXNsYS1wZXJmb3JtYW5jZS1tb2RlLW1vZGVsLTMteS9hbXAv?oc=5","Tesla to launch new Performance mode for Model 3 and Y  TESLARATI","Sun, 26 May 2024 23:26:15 GMT"
